ID,USERNAME,FIRSTNAME,LASTNAME,EMAIL,PASSWORD,CONFIRM,PHONE,SEX,ADDRESS,BAL
14,kokomnia,afolabi,sunday,afo@yahoo.com,afolabi12345,afolabi12345,08132930957,male,molete,500.0
16,lappy1,afolabi,sunday,afo@gmail.com,12345,12345,08132930957,male,moniya,4000.0
17,DFGHJK,DFGHJKL,DFGHJKL,DFGHJK@,12345,12345,12345678902,MALE,MONIYA,5000.0
18,afolabi,sunday,sunday,afolabi@yahoo.com,12345678,12345678,12345678912,male,afolabi,
19,afo,afsdfghj,dfghjk,dfghjk@yahoo.com,har4labi01,har4labi01,08132930957,male,dfghjkl,
20,afolabi,sunday,koko,koko@gmail.com,12345,12345,08132930957,Male,moniy,
22,,,,afo@gmail.com,12345,12345,08132930957,,,
23,HARRISBRIAN,KEVIN,BAKER,JUSTINGARCIA@EXAMPLE.COM,@!6FNHMVDE,@!6FNHMVDE,+1-512-863-9367X232,FEMALE,"UNIT 4629 BOX 4649
DPO AP 09546",65811.0
24,TARA35,BECKY,THOMAS,CURTISCAROLYN@EXAMPLE.NET,&6ZJ!DNX_J,&6ZJ!DNX_J,0201040010,MALE,"78922 KEVIN LANE
NEW LARRYVIEW, AL 65273",68794.0
25,MMARTINEZ,RANDY,CONTRERAS,ELIZABETHMILLER@EXAMPLE.COM,B+#24LZ3E8,B+#24LZ3E8,7008438970,FEMALE,"00011 RACHEL VILLAGES APT. 238
LAKE SARAH, VT 38867",65814.0
26,CHRISTOPHER29,DAVID,NEWMAN,SHANSEN@EXAMPLE.ORG,E(!8J6EZYD,E(!8J6EZYD,(264)818-2145X150,MALE,"57990 BERRY ORCHARD
NEW OLIVIAFORT, NY 75090",68711.0
27,PATRICKRILEY,MONICA,MARKS,BRENDACLAY@EXAMPLE.ORG,E%1YRAZUNW,E%1YRAZUNW,001-856-097-3839X3859,FEMALE,"0359 COBB JUNCTIONS APT. 476
LAKE ERIKA, PW 94193",76753.0
28,JOHNSONTRAVIS,CAROLYN,SMITH,TRAVIS16@EXAMPLE.COM,V_L7OQAP(6,V_L7OQAP(6,+1-139-952-1710,FEMALE,"3325 JENNIFER LODGE
WILLIAMSSHIRE, VA 94026",80025.0
